50-00-0 FM 67
"50-29-3 II 30, 65"
50-31-7 II 38
50-65-7 U 54
51-03-6 U 55
51-14-9 O 62
52-51-7 II 28
"52-68-6 II 39, 65"
52-85-7 Ib 24
54-11-5 Ib 25
55-38-9 II 32
"56-35-9 II 28, 66"
"56-38-2 Ia 22, 66"
56-72-4 Ib 23
57-24-9 Ib 25
"57-74-9 II 28, 65"
"58-89-9 II 33, 65"
60-51-5 II 31
"60-57-1 O 60, 65"
61-82-5 U 49
62-38-4 Ia 22
62-73-7 Ib 24
62-74-8 Ia 22
63-25-2 II 28
66-81-9 O 60
72-20-8 O 60
72-43-5 U 54
72-54-8 O 62
74-83-9 FM 67
74-88-4 II 35
74-90-8 FM 67
75-15-0 O 59
"75-21-8 FM 65, 67"
75-56-9 II 37
75-60-5 II 31
75-99-0 U 51
76-03-9 II 38
76-06-2 FM 67
"76-44-8 O 61, 65"
76-87-9 II 32
77-06-5 U 53
78-34-2 O 60
78-57-9 O 61
78-87-5 O 60
79-11-8 II 28
80-06-8 O 59
80-33-1 O 59
80-38-6 O 61
81-81-2 Ib 25
81-82-3 O 60
81-84-5 O 62
82-66-6 Ia 21
82-68-8 U 56
83-26-1 O 62
83-59-0 O 62
83-79-4 II 37
84-65-1 U 49
84-74-2 O 60
85-34-7 II 28
"86-50-0 Ib 23, 65"
86-86-2 U 54
86-87-3 III 45
86-88-4 O 59
87-17-2 O 62
"87-86-5 Ib 25, 65"
"88-85-7 O 60, 65"
90-43-7 III 46
91-20-3 II 35
92-52-4 III 41
93-71-0 II 27
93-72-1 O 61
93-75-4 O 62
"93-76-5 O 62, 65"
94-74-6 II 34
94-75-7 II 30
94-81-5 II 34
94-82-6 II 30
94-96-2 O 60
95-06-7 II 38
96-12-8 O 60
96-24-2 Ib 23
97-17-6 O 60
97-23-4 II 30
99-30-9 III 42
101-05-3 III 41
101-21-3 U 50
101-27-9 II 27
101-42-8 O 61
103-17-3 O 59
106-46-7 II 30
"106-93-4 FM 65, 67"
107-02-8 Ib 23
"107-06-2 FM 65, 67"
107-13-1 FM 67
107-18-6 Ib 23
107-49-3 O 62
108-25-8 O 62
108-62-3 II 34
112-12-9 III 47
CAS# CLASS PAGE CAS# CLASS PAGE CAS# CLASS PAGE
"Pesticide active ingredients, which occur in Tables 1–8, in CAS no. order 73"
113-48-4 III 45
114-26-1 II 37
115-26-4 O 60
"115-29-7 II 31, 65"
115-31-1 O 61
115-32-2 II 30
115-78-6 II 29
115-90-2 O 61
116-01-8 O 60
"116-06-3 Ia 21, 65"
116-16-5 O 61
116-29-0 U 57
117-18-0 U 57
"118-74-1 Ia 21, 65"
118-75-2 O 59
119-12-0 II 37
120-23-0 II 35
120-36-5 II 30
120-62-7 O 62
121-75-5 III 45
122-14-5 II 31
122-34-9 U 56
122-42-9 U 56
122-88-3 II 29
123-33-1 U 54
123-88-6 O 61
124-58-3 II 35
126-07-8 O 61
126-22-7 O 59
126-75-0 O 60
129-67-9 II 31
131-11-3 U 51
131-72-6 III 45
131-89-5 O 60
132-66-1 U 54
133-06-2 U 50
133-07-3 U 53
133-90-4 O 59
134-31-6 O 61
134-62-3 III 42
136-25-4 O 60
"137-26-8 II 38, 65"
137-30-4 II 39
137-42-8 II 35
139-40-2 U 56
140-41-0 O 62
140-56-7 O 61
140-57-8 O 59
141-03-7 O 60
141-66-2 Ib 24
142-59-6 II 35
143-33-9 Ib 25
143-50-0 O 59
148-79-8 III 47
149-26-8 O 60
150-68-5 O 62
152-16-9 O 62
156-62-7 O 59
297-78-9 O 61
297-97-2 O 62
"297-99-4 1a 22, 66"
"298-00-0 Ia 22, 66"
"298-02-2 Ia 22, 65"
298-03-3 O 60
298-04-4 Ia 21
299-84-3 O 61
299-86-5 O 60
300-76-5 II 35
301-12-2 Ib 25
"309-00-2 O 59, 65"
314-40-9 U 50
314-42-1 O 61
315-18-4 O 62
327-98-0 O 63
330-54-1 III 43
330-55-2 III 45
333-41-5 II 30
371-86-8 O 62
465-73-6 O 61
467-69-6 U 52
470-90-6 Ib 23
"485-31-4 O 59, 65"
495-73-8 O 59
502-39-6 O 61
502-55-6 O 61
"510-15-6 O 59, 65"
513-77-9 O 59
532-34-3 O 59
533-74-4 II 30
"534-52-1 Ib 24, 65"
535-89-7 O 60
542-75-6 FM 67
555-37-3 U 54
556-22-9 O 61
556-61-6 II 35
563-12-2 II 31
584-79-2 II 27
590-28-3 O 62
592-01-8 Ia 21
"608-73-1 II 33, 65"
624-92-0 II 31
640-15-3 Ib 25
"640-19-7 Ib 24, 65"
644-64-4 O 60
650-51-1 III 47
671-04-5 O 59
682-80-4 O 60
709-98-8 II 36
731-27-1 U 57
732-11-6 II 36
741-58-2 II 27
756-09-2 U 52
759-94-4 II 31
786-19-6 O 59
834-12-8 II 27
841-06-5 O 61
886-50-0 III 47
900-95-8 II 32
919-76-6 O 59
919-86-8 Ib 24
944-22-9 O 61
947-02-4 O 62
950-10-7 O 61
950-37-8 Ib 24
957-51-7 II 31
973-21-7 II 31
991-42-4 O 62
999-81-5 II 28
1014-69-3 O 60
1014-70-6 II 37
1031-47-6 O 62
1071-83-6 III 44
CAS# CLASS PAGE CAS# CLASS PAGE CAS# CLASS PAGE
74 The WHO Recommended Classification of Pesticides by Hazard
1085-98-9 U 51
1086-02-8 O 62
1113-02-6 Ib 25
1114-71-2 II 36
1129-41-5 II 35
1134-23-2 III 42
1194-65-6 III 42
1303-96-4 III 41
1314-84-7 Ib 25
1317-39-1 II 29
1327-53-3 O 59
1332-40-7 II 29
1420-06-0 O 63
1420-07-1 Ib 24
1468-37-7 O 60
"1563-66-2 Ib 23, 65"
1582-09-8 U 57
1593-77-7 III 43
1596-84-5 U 51
1610-17-9 O 59
1610-18-0 III 46
1646-88-4 O 59
1689-83-4 II 34
1689-84-5 II 28
1698-60-8 III 41
1702-17-6 III 42
1715-40-8 O 59
1746-81-2 III 45
1754-58-1 O 60
1836-75-5 III 45
1836-77-7 O 59
1861-32-1 III 42
1861-40-1 U 49
1897-45-6 U 50
1912-24-9 III 41
1912-25-0 O 61
1912-26-1 III 47
1918-00-9 II 30
1918-02-1 U 55
1918-11-2 O 62
1918-13-4 II 29
1918-16-7 II 36
1918-18-9 O 62
1929-77-7 II 39
1929-82-4 II 35
1929-88-0 O 59
1967-16-4 O 59
1982-47-4 III 42
1982-49-6 U 56
2008-41-5 III 41
2032-59-9 O 59
2032-65-7 Ib 25
2079-00-7 Ib 23
2104-64-5 Ia 21
2104-96-3 II 28
2163-69-1 O 60
2164-08-1 U 54
2164-09-2 O 59
2164-17-2 U 52
2212-67-1 II 35
2227-13-6 O 62
2227-17-0 III 42
2274-74-0 O 59
2275-14-1 O 62
2275-18-5 O 62
2275-23-2 Ib 25
2303-16-4 O 60
2303-17-5 III 47
2307-49-5 O 62
2307-68-8 U 55
2310-17-0 II 36
2312-35-8 III 46
"2312-76-7 Ib 24, 65"
2385-85-5 O 62
"2425-06-1 Ia 21, 65"
2425-10-7 II 39
2439-01-2 III 41
2439-10-3 II 31
2439-99-8 O 61
2464-37-1 U 50
2487-01-6 O 61
2497-07-6 O 62
2514-53-6 O 62
2540-82-1 II 33
2550-75-6 O 59
2587-90-8 O 60
2593-15-9 III 43
2595-54-2 Ib 24
2597-03-7 II 36
2631-37-0 O 62
2631-40-5 II 34
2636-26-2 II 29
2642-71-9 Ib 23
2655-14-3 II 39
2655-19-8 O 59
2669-32-1 O 61
2674-91-1 O 60
2675-77-6 U 50
2693-61-0 O 61
2699-79-8 FM 67
2759-71-9 O 60
2764-72-9 II 31
2778-04-3 O 60
2797-51-5 II 37
"2813-95-8 O 60, 65"
2921-88-2 II 29
2941-55-1 O 60
"2980-64-5 1b 24, 65"
3060-89-7 III 45
3134-12-1 O 62
3337-71-1 III 41
3347-22-6 II 31
3383-96-8 III 47
3495-42-9 O 60
3547-33-9 U 53
3689-24-5 Ia 22
3691-35-8 Ia 21
3734-95-0 O 60
3737-22-2 U 51
3740-92-9 U 52
3766-60-7 O 59
3766-81-2 II 32
3792-59-4 O 60
3811-49-2 O 60
3813-05-6 III 41
3861-47-0 II 34
3878-19-1 II 33
4104-14-7 O 62
4147-51-7 O 60
4151-50-2 II 38
4234-79-1 O 61
4301-50-2 O 61
CAS# CLASS PAGE CAS# CLASS PAGE CAS# CLASS PAGE
"Pesticide active ingredients, which occur in Tables 1–8, in CAS no. order 75"
4482-55-7 O 61
4489-31-0 O 62
4636-83-3 O 62
4658-28-0 O 59
4685-14-7 II 36
4726-14-1 O 62
4824-78-6 Ib 23
4849-32-5 O 61
5131-24-8 O 60
5221-53-4 III 43
5234-68-4 III 41
5259-88-1 III 46
5598-13-0 III 42
5707-69-7 O 60
"5787-96-2 1b 24, 65"
5827-05-4 O 61
5834-96-8 O 59
5836-10-2 O 60
5836-29-3 Ib 23
5902-51-2 U 57
5915-41-3 III 47
"6164-98-3 O 59, 65"
6392-46-7 O 59
6616-80-4 O 60
"6923-22-4 Ib 25, 66"
6988-21-2 O 60
7055-03-0 O 61
7085-19-0 II 34
7159-99-1 O 62
7287-19-6 III 46
7287-36-7 III 45
7292-16-2 O 62
7446-18-6 Ib 25
"7487-94-7 Ia 21, 65"
7681-49-4 II 37
7681-93-8 III 46
7696-12-0 U 57
7700-17-6 O 60
7704-34-9 III 47
7758-98-7 II 29
7773-06-0 III 41
7775-09-9 II 37
7778-44-1 Ib 23
7784-40-9 Ib 24
7784-46-5 Ib 25
7786-34-7 Ia 21
7803-51-2 FM 67
"8001-35-2 O 59, 62, 65"
8003-05-2 O 62
8003-34-7 II 37
8018-01-7 U 54
